Target image,Source image,Target landmarks,Source landmarks,Image diagonal [pixels],Image size [pixels],status
COAD_04/scale-25pc/S2.jpg,COAD_04/scale-25pc/S5.jpg,COAD_04/scale-25pc/S2.csv,COAD_04/scale-25pc/S5.csv,16460.9,"(13915, 8794)",training
COAD_05/scale-25pc/S2.jpg,COAD_05/scale-25pc/S5-v1.jpg,COAD_05/scale-25pc/S2.csv,COAD_05/scale-25pc/S5-v1.csv,12777.2,"(8064, 9911)",training
COAD_05/scale-25pc/S2.jpg,COAD_05/scale-25pc/S6.jpg,COAD_05/scale-25pc/S2.csv,COAD_05/scale-25pc/S6.csv,12777.2,"(8064, 9911)",training
COAD_05/scale-25pc/S2.jpg,COAD_05/scale-25pc/S7.jpg,COAD_05/scale-25pc/S2.csv,COAD_05/scale-25pc/S7.csv,12777.2,"(8064, 9911)",training
COAD_05/scale-25pc/S5-v1.jpg,COAD_05/scale-25pc/S6.jpg,COAD_05/scale-25pc/S5-v1.csv,COAD_05/scale-25pc/S6.csv,12869.1,"(8282, 9850)",training
COAD_05/scale-25pc/S5-v1.jpg,COAD_05/scale-25pc/S7.jpg,COAD_05/scale-25pc/S5-v1.csv,COAD_05/scale-25pc/S7.csv,12869.1,"(8282, 9850)",training
COAD_05/scale-25pc/S6.jpg,COAD_05/scale-25pc/S7.jpg,COAD_05/scale-25pc/S6.csv,COAD_05/scale-25pc/S7.csv,12917.8,"(8381, 9830)",training
COAD_06/scale-25pc/S2.jpg,COAD_06/scale-25pc/S5.jpg,COAD_06/scale-25pc/S2.csv,COAD_06/scale-25pc/S5.csv,15647.9,"(11194, 10934)",training
COAD_06/scale-25pc/S2.jpg,COAD_06/scale-25pc/S7.jpg,COAD_06/scale-25pc/S2.csv,COAD_06/scale-25pc/S7.csv,15647.9,"(11194, 10934)",training
COAD_06/scale-25pc/S5.jpg,COAD_06/scale-25pc/S7.jpg,COAD_06/scale-25pc/S5.csv,COAD_06/scale-25pc/S7.csv,16271.5,"(11846, 11155)",training
COAD_07/scale-25pc/S2.jpg,COAD_07/scale-25pc/S5.jpg,COAD_07/scale-25pc/S2.csv,COAD_07/scale-25pc/S5.csv,15887.5,"(11702, 10746)",training
COAD_07/scale-25pc/S2.jpg,COAD_07/scale-25pc/S7.jpg,COAD_07/scale-25pc/S2.csv,COAD_07/scale-25pc/S7.csv,15887.5,"(11702, 10746)",training
COAD_07/scale-25pc/S5.jpg,COAD_07/scale-25pc/S7.jpg,COAD_07/scale-25pc/S5.csv,COAD_07/scale-25pc/S7.csv,14896.7,"(10740, 10323)",training
COAD_08/scale-25pc/S1.jpg,COAD_08/scale-25pc/S3.jpg,COAD_08/scale-25pc/S1.csv,COAD_08/scale-25pc/S3.csv,17621.2,"(14099, 10570)",training
COAD_08/scale-25pc/S1.jpg,COAD_08/scale-25pc/S6.jpg,COAD_08/scale-25pc/S1.csv,COAD_08/scale-25pc/S6.csv,17621.2,"(14099, 10570)",training
COAD_08/scale-25pc/S1.jpg,COAD_08/scale-25pc/S7.jpg,COAD_08/scale-25pc/S1.csv,COAD_08/scale-25pc/S7.csv,17621.2,"(14099, 10570)",training
COAD_08/scale-25pc/S3.jpg,COAD_08/scale-25pc/S6.jpg,COAD_08/scale-25pc/S3.csv,COAD_08/scale-25pc/S6.csv,18582.8,"(15431, 10354)",training
COAD_08/scale-25pc/S3.jpg,COAD_08/scale-25pc/S7.jpg,COAD_08/scale-25pc/S3.csv,COAD_08/scale-25pc/S7.csv,18582.8,"(15431, 10354)",training
COAD_08/scale-25pc/S6.jpg,COAD_08/scale-25pc/S7.jpg,COAD_08/scale-25pc/S6.csv,COAD_08/scale-25pc/S7.csv,18809.5,"(13962, 12604)",training
COAD_09/scale-25pc/S1.jpg,COAD_09/scale-25pc/S2.jpg,COAD_09/scale-25pc/S1.csv,COAD_09/scale-25pc/S2.csv,14033.5,"(11500, 8043)",training
COAD_09/scale-25pc/S1.jpg,COAD_09/scale-25pc/S5.jpg,COAD_09/scale-25pc/S1.csv,COAD_09/scale-25pc/S5.csv,14033.5,"(11500, 8043)",training
COAD_09/scale-25pc/S1.jpg,COAD_09/scale-25pc/S6.jpg,COAD_09/scale-25pc/S1.csv,COAD_09/scale-25pc/S6.csv,14033.5,"(11500, 8043)",training
COAD_09/scale-25pc/S2.jpg,COAD_09/scale-25pc/S5.jpg,COAD_09/scale-25pc/S2.csv,COAD_09/scale-25pc/S5.csv,14431.3,"(11721, 8419)",training
COAD_09/scale-25pc/S2.jpg,COAD_09/scale-25pc/S6.jpg,COAD_09/scale-25pc/S2.csv,COAD_09/scale-25pc/S6.csv,14431.3,"(11721, 8419)",training
COAD_09/scale-25pc/S5.jpg,COAD_09/scale-25pc/S6.jpg,COAD_09/scale-25pc/S5.csv,COAD_09/scale-25pc/S6.csv,15096.0,"(12344, 8690)",training
COAD_10/scale-25pc/S1.jpg,COAD_10/scale-25pc/S4.jpg,COAD_10/scale-25pc/S1.csv,COAD_10/scale-25pc/S4.csv,16867.3,"(11914, 11940)",training
COAD_10/scale-25pc/S1.jpg,COAD_10/scale-25pc/S6.jpg,COAD_10/scale-25pc/S1.csv,COAD_10/scale-25pc/S6.csv,16867.3,"(11914, 11940)",training
COAD_10/scale-25pc/S1.jpg,COAD_10/scale-25pc/S7.jpg,COAD_10/scale-25pc/S1.csv,COAD_10/scale-25pc/S7.csv,16867.3,"(11914, 11940)",training
COAD_10/scale-25pc/S4.jpg,COAD_10/scale-25pc/S6.jpg,COAD_10/scale-25pc/S4.csv,COAD_10/scale-25pc/S6.csv,15627.1,"(13189, 8382)",training
COAD_10/scale-25pc/S4.jpg,COAD_10/scale-25pc/S7.jpg,COAD_10/scale-25pc/S4.csv,COAD_10/scale-25pc/S7.csv,15627.1,"(13189, 8382)",training
COAD_10/scale-25pc/S6.jpg,COAD_10/scale-25pc/S7.jpg,COAD_10/scale-25pc/S6.csv,COAD_10/scale-25pc/S7.csv,15304.7,"(13059, 7981)",training
COAD_11/scale-25pc/S1.jpg,COAD_11/scale-25pc/S2.jpg,COAD_11/scale-25pc/S1.csv,COAD_11/scale-25pc/S2.csv,14788.4,"(12410, 8043)",training
COAD_11/scale-25pc/S1.jpg,COAD_11/scale-25pc/S5.jpg,COAD_11/scale-25pc/S1.csv,COAD_11/scale-25pc/S5.csv,14788.4,"(12410, 8043)",training
COAD_11/scale-25pc/S1.jpg,COAD_11/scale-25pc/S6.jpg,COAD_11/scale-25pc/S1.csv,COAD_11/scale-25pc/S6.csv,14788.4,"(12410, 8043)",training
COAD_11/scale-25pc/S2.jpg,COAD_11/scale-25pc/S5.jpg,COAD_11/scale-25pc/S2.csv,COAD_11/scale-25pc/S5.csv,15824.0,"(12615, 9553)",training
COAD_11/scale-25pc/S2.jpg,COAD_11/scale-25pc/S6.jpg,COAD_11/scale-25pc/S2.csv,COAD_11/scale-25pc/S6.csv,15824.0,"(12615, 9553)",training
COAD_11/scale-25pc/S5.jpg,COAD_11/scale-25pc/S6.jpg,COAD_11/scale-25pc/S5.csv,COAD_11/scale-25pc/S6.csv,16037.2,"(13254, 9029)",training
COAD_12/scale-25pc/S1.jpg,COAD_12/scale-25pc/S2.jpg,COAD_12/scale-25pc/S1.csv,COAD_12/scale-25pc/S2.csv,13849.2,"(10200, 9368)",training
COAD_12/scale-25pc/S1.jpg,COAD_12/scale-25pc/S5.jpg,COAD_12/scale-25pc/S1.csv,COAD_12/scale-25pc/S5.csv,13849.2,"(10200, 9368)",training
COAD_12/scale-25pc/S1.jpg,COAD_12/scale-25pc/S6.jpg,COAD_12/scale-25pc/S1.csv,COAD_12/scale-25pc/S6.csv,13849.2,"(10200, 9368)",training
COAD_12/scale-25pc/S2.jpg,COAD_12/scale-25pc/S5.jpg,COAD_12/scale-25pc/S2.csv,COAD_12/scale-25pc/S5.csv,13751.1,"(10734, 8595)",training
COAD_12/scale-25pc/S2.jpg,COAD_12/scale-25pc/S6.jpg,COAD_12/scale-25pc/S2.csv,COAD_12/scale-25pc/S6.csv,13751.1,"(10734, 8595)",training
COAD_12/scale-25pc/S5.jpg,COAD_12/scale-25pc/S6.jpg,COAD_12/scale-25pc/S5.csv,COAD_12/scale-25pc/S6.csv,14347.3,"(11175, 8998)",training
COAD_13/scale-25pc/S2.jpg,COAD_13/scale-25pc/S5.jpg,COAD_13/scale-25pc/S2.csv,COAD_13/scale-25pc/S5.csv,14536.9,"(11698, 8630)",training
COAD_13/scale-25pc/S2.jpg,COAD_13/scale-25pc/S7.jpg,COAD_13/scale-25pc/S2.csv,COAD_13/scale-25pc/S7.csv,14536.9,"(11698, 8630)",training
COAD_13/scale-25pc/S5.jpg,COAD_13/scale-25pc/S7.jpg,COAD_13/scale-25pc/S5.csv,COAD_13/scale-25pc/S7.csv,14836.0,"(13018, 7116)",training
COAD_14/scale-25pc/S3.jpg,COAD_14/scale-25pc/S5.jpg,COAD_14/scale-25pc/S3.csv,COAD_14/scale-25pc/S5.csv,19139.0,"(15485, 11248)",training
COAD_15/scale-25pc/S2.jpg,COAD_15/scale-25pc/S5.jpg,COAD_15/scale-25pc/S2.csv,COAD_15/scale-25pc/S5.csv,16857.4,"(12556, 11248)",training
COAD_16/scale-25pc/S5.jpg,COAD_16/scale-25pc/S6.jpg,COAD_16/scale-25pc/S5.csv,COAD_16/scale-25pc/S6.csv,17366.5,"(15083, 8608)",training
COAD_17/scale-25pc/S1.jpg,COAD_17/scale-25pc/S2.jpg,COAD_17/scale-25pc/S1.csv,COAD_17/scale-25pc/S2.csv,15882.9,"(13254, 8752)",training
COAD_17/scale-25pc/S1.jpg,COAD_17/scale-25pc/S5.jpg,COAD_17/scale-25pc/S1.csv,COAD_17/scale-25pc/S5.csv,15882.9,"(13254, 8752)",training
COAD_17/scale-25pc/S1.jpg,COAD_17/scale-25pc/S6.jpg,COAD_17/scale-25pc/S1.csv,COAD_17/scale-25pc/S6.csv,15882.9,"(13254, 8752)",training
COAD_17/scale-25pc/S2.jpg,COAD_17/scale-25pc/S5.jpg,COAD_17/scale-25pc/S2.csv,COAD_17/scale-25pc/S5.csv,16493.1,"(13412, 9599)",training
COAD_17/scale-25pc/S2.jpg,COAD_17/scale-25pc/S6.jpg,COAD_17/scale-25pc/S2.csv,COAD_17/scale-25pc/S6.csv,16493.1,"(13412, 9599)",training
COAD_17/scale-25pc/S5.jpg,COAD_17/scale-25pc/S6.jpg,COAD_17/scale-25pc/S5.csv,COAD_17/scale-25pc/S6.csv,15095.1,"(13124, 7458)",training
COAD_18/scale-25pc/S2.jpg,COAD_18/scale-25pc/S5.jpg,COAD_18/scale-25pc/S2.csv,COAD_18/scale-25pc/S5.csv,9580.4,"(7229, 6287)",training
COAD_18/scale-25pc/S2.jpg,COAD_18/scale-25pc/S7.jpg,COAD_18/scale-25pc/S2.csv,COAD_18/scale-25pc/S7.csv,9580.4,"(7229, 6287)",training
COAD_18/scale-25pc/S5.jpg,COAD_18/scale-25pc/S7.jpg,COAD_18/scale-25pc/S5.csv,COAD_18/scale-25pc/S7.csv,9766.2,"(7342, 6440)",training
COAD_19/scale-25pc/S1.jpg,COAD_19/scale-25pc/S3.jpg,COAD_19/scale-25pc/S1.csv,COAD_19/scale-25pc/S3.csv,15730.5,"(10417, 11787)",training
COAD_19/scale-25pc/S1.jpg,COAD_19/scale-25pc/S5.jpg,COAD_19/scale-25pc/S1.csv,COAD_19/scale-25pc/S5.csv,15730.5,"(10417, 11787)",training
COAD_19/scale-25pc/S1.jpg,COAD_19/scale-25pc/S6.jpg,COAD_19/scale-25pc/S1.csv,COAD_19/scale-25pc/S6.csv,15730.5,"(10417, 11787)",training
COAD_19/scale-25pc/S1.jpg,COAD_19/scale-25pc/S8.jpg,COAD_19/scale-25pc/S1.csv,COAD_19/scale-25pc/S8.csv,15730.5,"(10417, 11787)",training
COAD_19/scale-25pc/S3.jpg,COAD_19/scale-25pc/S5.jpg,COAD_19/scale-25pc/S3.csv,COAD_19/scale-25pc/S5.csv,16147.2,"(11214, 11618)",training
COAD_19/scale-25pc/S3.jpg,COAD_19/scale-25pc/S6.jpg,COAD_19/scale-25pc/S3.csv,COAD_19/scale-25pc/S6.csv,16147.2,"(11214, 11618)",training
COAD_19/scale-25pc/S3.jpg,COAD_19/scale-25pc/S8.jpg,COAD_19/scale-25pc/S3.csv,COAD_19/scale-25pc/S8.csv,16147.2,"(11214, 11618)",training
COAD_19/scale-25pc/S5.jpg,COAD_19/scale-25pc/S6.jpg,COAD_19/scale-25pc/S5.csv,COAD_19/scale-25pc/S6.csv,17302.3,"(12395, 12072)",training
COAD_19/scale-25pc/S5.jpg,COAD_19/scale-25pc/S8.jpg,COAD_19/scale-25pc/S5.csv,COAD_19/scale-25pc/S8.csv,17302.3,"(12395, 12072)",training
COAD_19/scale-25pc/S6.jpg,COAD_19/scale-25pc/S8.jpg,COAD_19/scale-25pc/S6.csv,COAD_19/scale-25pc/S8.csv,16922.3,"(12675, 11212)",training
COAD_20/scale-25pc/S2.jpg,COAD_20/scale-25pc/S5.jpg,COAD_20/scale-25pc/S2.csv,COAD_20/scale-25pc/S5.csv,14896.5,"(8840, 11990)",training
COAD_20/scale-25pc/S2.jpg,COAD_20/scale-25pc/S7.jpg,COAD_20/scale-25pc/S2.csv,COAD_20/scale-25pc/S7.csv,14896.5,"(8840, 11990)",training
COAD_20/scale-25pc/S5.jpg,COAD_20/scale-25pc/S7.jpg,COAD_20/scale-25pc/S5.csv,COAD_20/scale-25pc/S7.csv,16323.9,"(12280, 10755)",training
breast_1/scale-20pc/HE.jpg,breast_1/scale-20pc/HER2.jpg,breast_1/scale-20pc/HE.csv,breast_1/scale-20pc/HER2.csv,19720.3,"(14358, 13518)",training
breast_2/scale-20pc/HE.jpg,breast_2/scale-20pc/HER2.jpg,breast_2/scale-20pc/HE.csv,breast_2/scale-20pc/HER2.csv,17055.1,"(11735, 12376)",training
breast_3/scale-20pc/HE.jpg,breast_3/scale-20pc/HER2.jpg,breast_3/scale-20pc/HE.csv,breast_3/scale-20pc/HER2.csv,21061.0,"(11974, 17326)",training
breast_4/scale-20pc/HE.jpg,breast_4/scale-20pc/HER2.jpg,breast_4/scale-20pc/HE.csv,breast_4/scale-20pc/HER2.csv,16024.8,"(8298, 13709)",training
breast_5/scale-20pc/HE.jpg,breast_5/scale-20pc/HER2.jpg,breast_5/scale-20pc/HE.csv,breast_5/scale-20pc/HER2.csv,18028.8,"(13110, 12376)",training
gastric_1/scale-15pc/CD4.jpg,gastric_1/scale-15pc/CD68.jpg,gastric_1/scale-15pc/CD4.csv,gastric_1/scale-15pc/CD68.csv,12237.3,"(9916, 7171)",training
gastric_2/scale-15pc/CD4.jpg,gastric_2/scale-15pc/CD68.jpg,gastric_2/scale-15pc/CD4.csv,gastric_2/scale-15pc/CD68.csv,14743.2,"(10961, 9860)",training
gastric_3/scale-15pc/CD4.jpg,gastric_3/scale-15pc/CD68.jpg,gastric_3/scale-15pc/CD4.csv,gastric_3/scale-15pc/CD68.csv,16971.9,"(13367, 10458)",training
gastric_4/scale-15pc/CD4.jpg,gastric_4/scale-15pc/CD68.jpg,gastric_4/scale-15pc/CD4.csv,gastric_4/scale-15pc/CD68.csv,20685.9,"(13309, 15836)",training
gastric_5/scale-15pc/CD4.jpg,gastric_5/scale-15pc/CD68.jpg,gastric_5/scale-15pc/CD4.csv,gastric_5/scale-15pc/CD68.csv,16863.8,"(12469, 11354)",training
gastric_5/scale-15pc/CD4.jpg,gastric_5/scale-15pc/EBV.jpg,gastric_5/scale-15pc/CD4.csv,gastric_5/scale-15pc/EBV.csv,16863.8,"(12469, 11354)",training
gastric_5/scale-15pc/CD68.jpg,gastric_5/scale-15pc/EBV.jpg,gastric_5/scale-15pc/CD68.csv,gastric_5/scale-15pc/EBV.csv,16952.8,"(12589, 11354)",training
gastric_6/scale-15pc/CD4.jpg,gastric_6/scale-15pc/CD68.jpg,gastric_6/scale-15pc/CD4.csv,gastric_6/scale-15pc/CD68.csv,15845.5,"(12404, 9860)",training
gastric_6/scale-15pc/CD4.jpg,gastric_6/scale-15pc/EBV.jpg,gastric_6/scale-15pc/CD4.csv,gastric_6/scale-15pc/EBV.csv,15845.5,"(12404, 9860)",training
gastric_6/scale-15pc/CD68.jpg,gastric_6/scale-15pc/EBV.jpg,gastric_6/scale-15pc/CD68.csv,gastric_6/scale-15pc/EBV.csv,15472.6,"(11924, 9860)",training
gastric_7/scale-15pc/CD4.jpg,gastric_7/scale-15pc/CD68.jpg,gastric_7/scale-15pc/CD4.csv,gastric_7/scale-15pc/CD68.csv,20649.5,"(12100, 16733)",training
gastric_8/scale-15pc/CD4.jpg,gastric_8/scale-15pc/CD8.jpg,gastric_8/scale-15pc/CD4.csv,gastric_8/scale-15pc/CD8.csv,15894.2,"(12916, 9263)",training
gastric_9/scale-15pc/CD4.jpg,gastric_9/scale-15pc/CD68.jpg,gastric_9/scale-15pc/CD4.csv,gastric_9/scale-15pc/CD68.csv,20497.1,"(10457, 17629)",training
kidney_1/scale-25pc/MAS.jpg,kidney_1/scale-25pc/PAS.jpg,kidney_1/scale-25pc/MAS.csv,kidney_1/scale-25pc/PAS.csv,15863.2,"(14283, 6902)",training
kidney_2/scale-25pc/MAS.jpg,kidney_2/scale-25pc/PAS.jpg,kidney_2/scale-25pc/MAS.csv,kidney_2/scale-25pc/PAS.csv,14084.5,"(12766, 5950)",training
kidney_3/scale-25pc/MAS.jpg,kidney_3/scale-25pc/PAS.jpg,kidney_3/scale-25pc/MAS.csv,kidney_3/scale-25pc/PAS.csv,16150.5,"(15751, 3570)",training
kidney_4/scale-25pc/MAS.jpg,kidney_4/scale-25pc/PAS.jpg,kidney_4/scale-25pc/MAS.csv,kidney_4/scale-25pc/PAS.csv,14878.7,"(14318, 4046)",training
kidney_5/scale-25pc/MAS.jpg,kidney_5/scale-25pc/PAS.jpg,kidney_5/scale-25pc/MAS.csv,kidney_5/scale-25pc/PAS.csv,13764.0,"(13293, 3570)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.csv,8192.3,"(4369, 6930)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.csv,8192.3,"(4369, 6930)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.csv,8192.3,"(4369, 6930)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-CD31-3-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.csv,8192.3,"(4369, 6930)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.csv,8198.2,"(4388, 6925)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.csv,8198.2,"(4388, 6925)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Cc10-5-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.csv,8198.2,"(4388, 6925)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.csv,8200.3,"(4392, 6925)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-He-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.csv,8200.3,"(4392, 6925)",training
lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.jpg,lung-lesion_2/scale-25pc/29-041-Izd2-w35-Ki67-7-les2.csv,lung-lesion_2/scale-25pc/29-041-Izd2-w35-proSPC-4-les2.csv,8200.5,"(4386, 6929)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.csv,11556.4,"(7351, 8917)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.csv,11556.4,"(7351, 8917)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.csv,11556.4,"(7351, 8917)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-CD31-3-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.csv,11556.4,"(7351, 8917)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.csv,11584.6,"(7359, 8947)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.csv,11584.6,"(7359, 8947)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Cc10-5-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.csv,11584.6,"(7359, 8947)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.csv,11527.9,"(7328, 8899)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-He-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.csv,11527.9,"(7328, 8899)",training
lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.jpg,lung-lesion_1/scale-50pc/29-041-Izd2-w35-Ki67-7-les1.csv,lung-lesion_1/scale-50pc/29-041-Izd2-w35-proSPC-4-les1.csv,11545.3,"(7336, 8915)",training
